Carimbo de data/hora,palindromo_clean_FE,palindromo_clean_NC,palindromo_clean_EE,Calculator_modu_ruim_FE,Calculator_modu_ruim_NC,Calculator_modu_ruim_EE,celcius_bad_names_FE,celcius_bad_names_NC,celcius_bad_names_EE,dry_good_FE,dry_good_NC,dry_good_EE,SumEvenNumbers _kiss_bad_FE,SumEvenNumbers _kiss_bad_NC,SumEvenNumbers _kiss_bad_EE,shape_ocp_good_FE,shape_ocp_good_NC,shape_ocp_good_EE,sum_e_kiss_g_FE,sum_e_kiss_g_NC,sum_e_kiss_g_EE,payment_YAGNI_g_FE,payment_YAGNI_g_NC,payment_YAGNI_g_EE,ocp_bad_shape_FE,ocp_bad_shape_NC,ocp_bad_shape_EE,var_name_bad_FE,var_name_bad_NC,var_name_bad_EE,DRY_bad_FE,DRY_bad_NC,DRY_bad_EE,MODULAR_cal_good_FE,MODULAR_cal_good_NC,MODULAR_cal_good_EE,srp_good_FE,srp_good_NC,srp_good_EE,celcius_good_names_FE,celcius_good_names_NC,celcius_good_names_EE,SRP_bad_FE,SRP_bad_NC,SRP_bad_EE,YAGNI_bad_FE,YAGNI_bad_NC,YAGNI_bad_EE,  Como você avalia o seu nível de experiência em programação?  ,Quais linguagens de programação você tem familiaridade,"  Qual é o seu nível de familiaridade com boas práticas de programação (por exemplo, clean code, padrões de projeto)?  ",  Qual sua situação Profissional/Acadêmica  ,  Com que frequência você trabalha em equipe em projetos de programação?  ,  Qual é o seu nível de escolaridade na área de TI  ,  Com que frequência você participa de revisões de código (code reviews)  
05/08/2025 17:17:40,2,2,1,2,2,2,2,2,0,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,0,2,2,-2,0,2,-2,2,2,-1,1,2,0,2,2,2,2,2,2,2,2,0,2,2,1.0,Especialista,"Python, JavaScript, Java, C++, TypeScript, Kotlin, C",Muita familiaridade,Profissional da área de TI,Sempre,Graduação completa,Sempre
05/08/2025 18:18:08,0,-1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,-1,-2,0,2,2,1,2,2,2,2,2,1,2,2,1,2,2,0,2,2,2.0,Intermediário,"Python, JavaScript, Java, C++, C",Alguma familiaridade,"Estudante, Profissional da área de TI",Frequentemente,Graduação em andamento,Raramente
05/08/2025 18:29:17,1,2,1,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,2,1,2,2,2,2,2,2,2,-2,-1,-1,2,2,-1,-2,2,2,2,2,2,2,2,2,2,2,-1,-2,2,1,,Intermediário,"Python, JavaScript, TypeScript, C",Alguma familiaridade,Profissional da área de TI,Frequentemente,Graduação completa,Frequentemente
05/08/2025 18:58:23,1,1,1,2,2,2,2,0,2,2,0,2,2,2,2,1,-1,2,1,-1,2,2,1,0,2,2,2,2,2,2,1,0,2,2,2,2,2,-1,0,2,0,0,2,0,0,1,0,0.0,Iniciante,"Java, C",Nenhuma familiaridade,Estudante,Nunca,Graduação em andamento,Nunca
05/08/2025 19:24:59,1,0,-1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,-1,-2,-1,-1,2,0,-1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2.0,Avançado,"Python, JavaScript, Java, C++, C#, C, Rust",Boa familiaridade,Profissional da área de TI,Às vezes,Graduação em andamento,Nunca
05/08/2025 20:27:49,-1,0,0,1,1,0,2,2,2,2,1,1,1,1,-1,1,1,1,0,1,1,2,2,1,0,0,-2,-1,0,-1,1,-1,-1,2,1,1,0,0,0,2,2,2,1,1,0,1,0,-1.0,Avançado,"Python, JavaScript, Java, C++, TypeScript, PHP, C",Alguma familiaridade,"Estudante, Profissional da área de TI",Sempre,Graduação completa,Raramente
05/08/2025 22:44:33,1,2,1,2,1,2,1,1,2,-1,0,0,2,1,2,2,2,2,0,0,0,2,2,2,-1,0,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,Avançado,"JavaScript, C++, TypeScript, C, Shell",Boa familiaridade,Profissional da área de TI,Sempre,Graduação em andamento,Frequentemente
05/08/2025 22:44:48,2,2,2,1,0,0,0,1,1,2,2,2,2,2,1,2,2,2,0,0,1,2,2,2,0,-1,-1,-2,-2,-1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0.0,Intermediário,"Python, JavaScript, Java, TypeScript",Alguma familiaridade,"Estudante, Profissional da área de TI",Frequentemente,Graduação em andamento,Às vezes
05/08/2025 22:51:12,1,1,1,2,2,1,0,1,0,2,1,1,1,2,-1,1,2,0,2,2,2,1,1,0,2,0,2,-1,-1,1,2,2,1,2,2,1,0,0,0,2,2,2,2,2,2,1,2,1.0,Intermediário,"Python, JavaScript, Java, C",Alguma familiaridade,Estudante,Às vezes,Graduação em andamento,Raramente
06/08/2025 01:32:31,1,2,0,2,2,-1,2,2,-2,2,1,0,2,2,-1,2,2,2,2,2,2,2,2,-1,1,-1,-2,-2,-1,-1,1,1,-1,2,2,1,2,2,1,2,2,2,1,1,0,1,1,-2.0,Avançado,"Python, Java",Muita familiaridade,Profissional da área de TI,Sempre,Graduação em andamento,Às vezes
